Scenario,FAILED_DOWNLINK_NETWORK,FAILED_E2E_TIMEOUT,FAILED_UPLINK_NETWORK,NONE
S1: Public Internet,3.2053418660978155,2.8386996422460724,4.081950092216075,89.87400839944004
S2: Private APN (Atheer) [Network-only],0.0,0.0,0.0,100.0
